BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,DateApproved,Lender
ALATUS AEROSYSTEMS,17055 GALE AVE,CITY OF INDUSTRY,CA,91745,336413,Corporation,333,4/12/2020,"INTRUST Bank, National Association"
ALIA CORP,140 Heron Way 0.0,MERCED,CA,95341,722513,Corporation,500,4/11/2020,"JPMorgan Chase Bank, National Association"
"ALL ENVIRONMENTAL, INC.",2500 CAMINO DIABLO,WALNUT CREEK,CA,94597,541620,Corporation,277,5/3/2020,"Bank of America, National Association"
ALLEN MATKINS LECK GAMBLE MALLORY & NATSIS LLP,865 S. FIGUEROA ST SUITE 2800,LOS ANGELES,CA,90017,541110,Limited Liability Partnership,267,4/14/2020,City National Bank
"ALSTON CONSTRUCTION CO., INC.",8775 FOLSOM BLVD Ste. 201,SACRAMENTO,CA,95826,236210,Corporation,374,4/9/2020,Bank of the West
"ALUMINUM PRECISION PRODUCTS, INC.",3333 W Warner Avenue,SANTA ANA,CA,92704,332112,Corporation,100,4/30/2020,"JPMorgan Chase Bank, National Association"
"AMERICAN GUARD SERVICES, INC.",1125 west 190th Street,GARDENDA,CA,90248,561612,Corporation,500,4/14/2020,"Harvest Small Business Finance, LLC"
AMERICAN HOSPITAL MANAGEMENT CORP,3800 JANES RD PO BOX 1115,ARCATA,CA,95518,622110,Corporation,472,4/14/2020,Redwood Capital Bank
AMERICAN INCORPORATED,1345 AMERICAN ST,VISALIA,CA,93291,238220,Subchapter S Corporation,476,4/13/2020,Comerica Bank
AMERICAN INTEGRATED SERVICES INC.,1502 E Opp St.,WILMINGTON,CA,90744,562910,Sole Proprietorship,322,4/4/2020,American Business Bank
"AMYRIS, INC.",5885 Hollis St. Ste 100,EMERYVILLE,CA,94608,325199,Corporation,440,5/1/2020,Bank of the West
ANDREW CHEKENE ENTERPRISES INC,21965 Meekland Ave,HAYWARD,CA,94541,236115,Subchapter S Corporation,272,4/30/2020,Bank of the West
"ANESTHESIA SERVICE MEDICAL GROUP, INC",3626 Ruffin Rd,SAN DIEGO,CA,92123,621111,Corporation,262,4/9/2020,First-Citizens Bank & Trust Company
ANTELOPE VALLEY LEARNING ACADEMY INC,177 HOLSTON DR,LANCASTER,CA,93535,611110,Non-Profit Organization,478,4/13/2020,Hanmi Bank
"APEX INNOVATIVE SCIENCES, INC.","12772 VALLEY VIEW ST, Siute 3",GARDEN GROVE,CA,92845,621399,Corporation,396,4/11/2020,Fifth Third Bank
APR CONSULTING INC,1370 VALLEY VISTA DRIVE SUITE 280,DIAMOND BAR,CA,91765,561311,Corporation,0,5/5/2020,"Wells Fargo Bank, National Association"
ARBORWORKS INC,6090 KEEBLE LANE,CAMINO,CA,95709,561730,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
ARCH LEGACY VENTURES INC.,1940  W. CORPORATE WAY,ANAHEIM,CA,92801,517312,Corporation,500,4/10/2020,"Zions Bank, A Division of"
ARCHITECTS ORANGE,144 N. ORANGE ST,ORANGE,CA,92866,541310,Corporation,289,4/14/2020,HomeStreet Bank
ARETE ASSOCIATES,"9301 Corbin Avenue, Suite 2000",NORTHRIDGE,CA,91324,541715,Corporation,296,4/14/2020,"JPMorgan Chase Bank, National Association"
"ASC STAFFING GROUP, LLC",888 PROSPECT ST,LA JOLLA,CA,92037,561311,Limited  Liability Company(LLC),500,4/13/2020,Commercial Bank of California
ASIAN HEALTH SERVICES,101 8TH ST Suite 100,OAKLAND,CA,94607,621498,Non-Profit Organization,0,4/4/2020,East West Bank
"ASSOCIATED MICROBREWERIES, LTD","5965 SANTA FE ST, STE E",SAN DIEGO,CA,92109,722511,Partnership,0,4/4/2020,First Choice Bank
"ATKINSON, ANDELSON, LOYA, RUUD AND ROMO",12800 Center Court Drive Suite 300,CERRITOS,CA,90703,541110,Corporation,327,4/11/2020,Friendly Hills Bank
ATLAS MORTGAGE LENDING LLC,180 Redwood Street,SAN FRANCISCO,CA,94102,522292,Limited  Liability Company(LLC),,4/7/2020,Customers Bank
"ATV, INC.",4490 Ayers Avenue,VERNON,CA,90058,441320,Subchapter S Corporation,426,4/4/2020,Partners Bank of California
AVID CENTER,9797 Aero Drive STE 100,SAN DIEGO,CA,92123,611430,Non-Profit Organization,448,4/11/2020,"Zions Bank, A Division of"
AYRES GROUP,"355 Bristol Street, Suite A",COSTA MESA,CA,92626,721110,Corporation,500,4/8/2020,City National Bank
BACKROADS,801 CEDAR STREET,BERKELEY,CA,94710,561520,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
BARLOW RESPIRATORY HOSPITAL,2000 Stadium Way,LOS ANGELES,CA,90026,622110,Non-Profit Organization,450,4/14/2020,KeyBank National Association
BARTELL HOTELS,4875 N Harbor Drive,SAN DIEGO,CA,92106,721110,Partnership,500,4/15/2020,"MUFG Union Bank, National Association"
"BAY AREA COMMUNITY RESOURCES, INC.",171 CARLOS DR,SAN RAFAEL,CA,94903,624190,Non-Profit Organization,500,4/14/2020,City National Bank
BAY AREA TRAFFIC SOLUTIONS INC,44800 Industrial Drive,FREMONT,CA,94538,561990,Corporation,312,4/27/2020,Emigrant Bank
BAY CITIES PAVING & GRADING INC,1450 CIVIC CT BUILDING B STE 400,CONCORD,CA,94520,237310,Corporation,246,4/5/2020,California Bank of Commerce
"BAY CITY MECHANICAL, INC",870 Harbour Way South,RICHMOND,CA,94804,238220,Subchapter S Corporation,270,4/30/2020,Bank of the West
BAY MARITIME CORP,2900 MAIN ST,ALAMEDA,CA,94501,541330,Corporation,440,4/11/2020,Umpqua Bank
BAYSIDE INTERIORS INC.,3220 Darby Common,FREMONT,CA,94539,238310,Subchapter S Corporation,306,4/7/2020,Fremont Bank
"BAYVIEW SERVICES, INC",6925 SAN LEANDRO ST,OAKLAND,CA,94621,541620,Subchapter S Corporation,332,4/9/2020,First Western Trust Bank
"BEAR TRACKS HOLDINGS, LLC",1880 Shasta Street,REDDING,CA,96001,722511,Limited  Liability Company(LLC),499,4/11/2020,BMO Harris Bank National Association
"BELL-CARTER FOODS, LLC",590 YGNACIO VALLEY RD STE 300,WALNUT CREEK,CA,94596,311421,Limited  Liability Company(LLC),317,4/15/2020,BMO Harris Bank National Association
"BERKELEY CEMENT, INC.",1200 Sixth St,BERKELEY,CA,94710,238110,Corporation,363,4/13/2020,California Bank of Commerce
BERNARDS BROS INC,555 First Street,SAN FERNANDO,CA,91340,236220,Corporation,312,4/28/2020,"U.S. Bank, National Association"
"BEST, BEST &AMP; KRIEGER LLP",3750 University Ave Ste 400,RIVERSIDE,CA,92501,541110,Limited Liability Partnership,333,5/3/2020,"Bank of America, National Association"
"BI-RITE RESTAURANT SUPPLY, CO",123 South Hill Drive,BRISBANE,CA,94005,422410,Subchapter S Corporation,270,4/9/2020,Bank of San Francisco
"BIRD RIDES, INC.",2501 Colorado Ave. Second Floor 0,SANTA MONICA,CA,90404,532310,Corporation,341,4/28/2020,"Citibank, N.A."
BIRMINGHAM COMMUNITY CHARTER HIGH SCHOOL,17000 HAYNES ST,VAN NUYS,CA,91406,611110,Non-Profit Organization,385,4/28/2020,Pacific Western Bank
BKF ENGINEERS,255 SHORELINE DR #200,REDWOOD CITY,CA,94065,541330,Corporation,499,4/4/2020,Redwood CU
BLACK ANGUS STEAKHOUSES LLC,13400 Riverside Drive Suite 210,SHERMAN OAKS,CA,91423,722511,Limited  Liability Company(LLC),63,4/10/2020,Stearns Bank National Association
BLACKSTONE TECHNOLOGY GROUP,33 NEW MONTGOMERY ST suite 850,SAN FRANCISCO,CA,94105,541519,Subchapter S Corporation,186,4/11/2020,Oak Valley Community Bank
"BLD BRANDS, LLC",20377 SW Acacia St. Suite 200,NEWPORT BEACH,CA,92660,722310,Limited  Liability Company(LLC),500,4/8/2020,"JPMorgan Chase Bank, National Association"
BLOOD BANK OF SAN BERNADINO AND RIVERSIDE COUNTIES DBA LIFESTREAM,384 W ORANGE SHOW RD,SAN BERNARDINO,CA,92408,621991,Corporation,434,4/9/2020,Pacific Premier Bank
"BLUE & GOLD FLEET, L.P.",41 Pier Fishermans Wharf,SAN FRANCISCO,CA,94133,483114,Partnership,294,4/9/2020,Western Alliance Bank
BLUE MOUNTAIN CONSTRUCTION SERVICES INC,707 ALDRIDGE RD,VACAVILLE,CA,95688,236118,Corporation,426,4/27/2020,"Flagstar Bank, FSB"
"BOMEL CONSTRUCTION CO., INC.",96 CORPORATE PARK,IRVINE,CA,92606,238990,Corporation,453,4/28/2020,Pacific Western Bank
"BOYETT CONSTRUCTION, INC.",2404 Tripaldi Way,HAYWARD,CA,94545,423810,Corporation,201,4/8/2020,Western Alliance Bank
BREMER WHYTE BROWN & O'MEARA LLP,20320 SW BIRCH ST,NEWPORT BEACH,CA,92660,541110,Limited Liability Partnership,300,4/9/2020,Sunwest Bank
BRIDGE HOUSING CORPORATION,600 California St,SAN FRANCISCO,CA,94108,484110,Non-Profit Organization,,4/13/2020,KeyBank National Association
"BRIGANTINE, INC.  THE",7889 Ostrow St.,SAN DIEGO,CA,92111,722511,Corporation,500,4/9/2020,"Zions Bank, A Division of"
"BRIGHT EVENT RENTALS, LLC",1640 190TH ST,TORRANCE,CA,90501,532299,Limited  Liability Company(LLC),324,4/9/2020,Bank of the West
BRIGHT STAR SCHOOLS,600 S. LA FAYETTE PARK PL,LOS ANGELES,CA,90057,611110,Non-Profit Organization,393,4/13/2020,City National Bank
"BTS USA, INC.",222 KEARNY ST SUITE 1000,SAN FRANCISCO,CA,94108,541611,Corporation,318,5/2/2020,Axos Bank
"BUCHALTER, A PROFESSIONAL CORPORATION",1000 Wilshire Blvd STE 1500,LOS ANGELES,CA,90017,541110,Corporation,478,4/8/2020,"Zions Bank, A Division of"
BUILDING MATERIAL DISTRIBUTORS INC,225 ELM AVE,GALT,CA,95632,423310,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
BURTON WAY HOTELS LLC,300 S. DOHENY DR,LOS ANGELES,CA,90048,721110,Limited  Liability Company(LLC),484,4/9/2020,East West Bank
"BWDS, LLC",450 N Oak St,INGLEWOOD,CA,90302,621399,Limited  Liability Company(LLC),180,4/13/2020,Pacific Mercantile Bank
BYER CALIFORNIA,66 Potrero Ave,SAN FRANCISCO,CA,94103,315240,Corporation,500,6/10/2020,"Bank of America, National Association"
BYTON NORTH AMERICA CORPORATION,4201 BURTON DR,SANTA CLARA,CA,95054,336111,Corporation,387,4/15/2020,"HSBC Bank USA, National Association"
C H RENOLDS ELECTRIC INC.,1281 Wayne Ave,SAN JOSE,CA,95131,238210,Corporation,298,4/27/2020,"U.S. Bank, National Association"
C. OVERAA & CO.,200 Parr Boulevard,RICHMOND,CA,94801,541990,Corporation,465,4/10/2020,Mechanics Bank
"C.B.F., INC.",675 DAVIS ST,SAN FRANCISCO,CA,94111,238210,Corporation,60,4/14/2020,"MUFG Union Bank, National Association"
"C3.AI, INC.",1300 Seaport Blvd Ste 500,REDWOOD CITY,CA,94063,511210,Corporation,452,5/3/2020,"Bank of America, National Association"
"CACIQUE, INC","800 Royal Oaks Drive, Suite 200",MONROVIA,CA,91016,311513,Subchapter S Corporation,0,4/8/2020,BMO Harris Bank National Association
"CADENCE AEROSPACE, LLC",3150 MIRALOMA AVE,ANAHEIM,CA,92806,336411,Limited  Liability Company(LLC),500,4/14/2020,Landmark National Bank
CAGWIN & DORWARD,1422 Technology Lane,MAGALIA,CA,95954,561730,Corporation,,4/14/2020,River City Bank
CALIFORNIA ACADEMY OF SCIENCES,55 Music Concourse Drive 0.0,SAN FRANCISCO,CA,94118,541715,Non-Profit Organization,474,4/15/2020,"JPMorgan Chase Bank, National Association"
"CALIFORNIA CANCER ASSOCIATES FOR RESEARCH AND EXCELLENCE, INC.",9915 MIRA MESA BLVD SUITE 370,SAN DIEGO,CA,92131,621111,Corporation,366,4/13/2020,Premier Valley Bank
"CALIFORNIA CLINIC MANAGEMENT, LLC",100 E. California Blvd.,PASADENA,CA,91105,541611,Limited  Liability Company(LLC),500,4/15/2020,"Zions Bank, A Division of"
"CALIFORNIA FISH GRILL, LLC","17310 Red Hill Avenue, Suite 330",IRVINE,CA,92614,722513,Limited  Liability Company(LLC),500,5/3/2020,"Zions Bank, A Division of"
CALIFORNIA FOOD MANAGEMENT LLC,6404 WILSHIRE BLVD STE. 999,LOS ANGELES,CA,90048,722513,Limited  Liability Company(LLC),500,4/10/2020,Manufacturers Bank
"CALIFORNIA NORTHSTATE UNIVERSITY, LLC",9700 WEST TARON DR,ELK GROVE,CA,95757,611310,Limited  Liability Company(LLC),280,4/15/2020,Exchange Bank
"CALIFORNIA SKIN INSTITUTE INTERMEDIATE HOLDINGS, LLC",525 SOUTH DR Suite 115,MOUNTAIN VIEW,CA,94040,621111,Limited  Liability Company(LLC),390,4/13/2020,BMO Harris Bank National Association
CALIFORNIA WASTE SOLUTIONS INC,1211 EMBARCADERO Suite 300,OAKLAND,CA,94606,562111,Corporation,295,4/28/2020,East West Bank
"CALLISTO MEDIA, INC.",6005 SHELLMOUND ST SUITE 175,EMERYVILLE,CA,94608,511130,Corporation,,4/28/2020,Pacific Western Bank
CANOO INC.,19551 Mariner Ave,TORRANCE,CA,90503,336111,Corporation,0,6/29/2020,Silicon Valley Bank
CAR SOUND EXHAUST SYSTEM INC.,1901 CORPORATE CTR,OCEANSIDE,CA,92056,336390,Corporation,250,4/5/2020,City National Bank
"CASTON, INC.",354 ALLEN ST,SAN BERNARDINO,CA,92408,238310,Corporation,366,4/28/2020,Pacific Western Bank
CATALINA ISLAND COMPANY,150 Metropole Ave.,AVALON,CA,90704,721110,Corporation,492,4/9/2020,City National Bank
CATHOLIC CHARITIES CYO OF THE ARCHDIOCESE OF SAN FRANCISCO,990 Eddy Street,SAN FRANCISCO,CA,94109,813110,Non-Profit Organization,480,4/6/2020,Bank of San Francisco
"CENTRAL FLORIDA RESTAURANTS, INC.",3550 Mowry Ave,FREMONT,CA,94538,722511,Corporation,500,4/14/2020,The Bancorp Bank
"CENTRAL VALLEY SPECIALTY HOSPITAL, INC.",730 17th Street,MODESTO,CA,95354,622310,Corporation,439,4/28/2020,Fremont Bank
"CERCA TROVA RESTAURANT GROUP HOLDINGS, INC.",7676 HAZARD CENTER DR,SAN DIEGO,CA,92108,722511,Corporation,500,4/6/2020,"Bank of Southern California, National Association"
CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,1731 E 120TH ST,LOS ANGELES,CA,90059,611310,Non-Profit Organization,450,4/9/2020,Western Alliance Bank
"CHECKONE, INC.",46228 WARM SPRINGS BLVD Suite 476,FREMONT,CA,94539,541214,Corporation,500,4/30/2020,Comerica Bank
CHILD AND FAMILY GUIDANCE CENTER,9650 ZELZAH AVE,NORTHRIDGE,CA,91325,624190,Non-Profit Organization,464,4/9/2020,East West Bank
CHILDREN'S BUREAU OF SOUTHREN CALIFORNIA,1910 MAGNOLIA AVE,LOS ANGELES,CA,90007,813212,Non-Profit Organization,465,4/27/2020,City National Bank
CHILDREN'S LAW CENTER OF CALIFORNIA,101 CENTRE PLAZA DR,MONTEREY PARK,CA,91754,922190,Non-Profit Organization,475,4/10/2020,American Business Bank
CHINESE HOSPITAL ASSOCIATION,845 Jackson Street,SAN FRANCISCO,CA,94133,525920,Corporation,377,4/16/2020,"U.S. Bank, National Association"
CHROME HEARTS LLC,9100 WILSHIRE BLVD SUITE 1000W,BEVERLY HILLS,CA,90212,315990,Limited  Liability Company(LLC),489,4/7/2020,City National Bank
CIRKS CONSTRUCTION INC.,2570 E CERRITOS AVE,ANAHEIM,CA,92806,236220,Corporation,270,4/3/2020,Partners Bank of California
CLAIM JUMPER ACQUISITION COMPANY LLC,12730 HIGH BLUFF DR,SAN DIEGO,CA,92130,722511,Limited  Liability Company(LLC),0,4/15/2020,"C3Bank, National Association"
"CLAREMONT HOTEL PROPERTIES, LLC",909 Montgomery St,SAN FRANCISCO,CA,94133,721110,Limited  Liability Company(LLC),500,4/28/2020,First Republic Bank
CLAY LACY AVIATION INC,7435 Valjean Ave,VAN NUYS,CA,91406,488190,Subchapter S Corporation,500,4/15/2020,First Republic Bank
COASTAL VINEYARD CARE ASSOCIATES,224 E. HWY 246,BUELLTON,CA,93427,115115,Subchapter S Corporation,0,4/27/2020,"Farm Credit West, PCA"
COFFMAN SPECIALTIES INC.,"9685 VIA EXCELENCIA, STE. 200",SAN DIEGO,CA,92126,237310,Corporation,315,4/8/2020,Pacific Premier Bank
"COLLINS ELECTRICAL COMPANY, INC.",3412 Metro Drive,STOCKTON,CA,95215,238210,Corporation,347,4/7/2020,Farmers & Merchants Bank of Central California
COLUMBUS TECHNOLOGIES AND SERVICES INC,1960 E GRAND AVE STE 1000,EL SEGUNDO,CA,90245,541330,Corporation,500,5/3/2020,"Bank of America, National Association"
"COMMERCE HOME MORTGAGE, LLC",16845 VON KARMAN AVE,IRVINE,CA,92606,522292,Limited  Liability Company(LLC),250,4/3/2020,Cornerstone Community Bank
CONCRETE NORTH INC,10274 IRON ROCK WAY,ELK GROVE,CA,95624,238110,Corporation,208,4/9/2020,Central Valley Community Bank
"CONDON-JOHNSON &#X26; ASSOCIATES, INC.",480 ROLAND WAY,OAKLAND,CA,94621,238110,Corporation,345,5/3/2020,"MUFG Union Bank, National Association"
"CONESYS, INC.",2280 West 208th Street,TORRANCE,CA,90501,334417,Subchapter S Corporation,494,4/9/2020,"Zions Bank, A Division of"
"CONTINENTAL CURRENCY SERVICES, INC.",1108 17TH ST,SANTA ANA,CA,92701,522390,Corporation,395,5/3/2020,Fifth Third Bank
CONTINUING DEVELOPMENT INCORPORATED,350 WOODVIEW AVE STE 100,MORGAN HILL,CA,95037,624410,Non-Profit Organization,500,4/27/2020,KeyPoint CU
COPE LAND INC,330 Twin Dolphin Drive,REDWOOD CITY,CA,94065,624190,Corporation,20,4/14/2020,Boston Private Bank & Trust Company
CORDOBA CORP.,1401 N. BROADWAY,LOS ANGELES,CA,90012,541990,Subchapter S Corporation,381,4/9/2020,Cathay Bank
"CORE TREE CARE, INC.",11762 DE PALMA RD STE 1C-103,CORONA,CA,92883,561730,Subchapter S Corporation,216,4/15/2020,"JPMorgan Chase Bank, National Association"
CORTEC PRECISION SHEET METAL INC,2231 WILL WOOL DR,SAN JOSE,CA,95112,332322,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
COTTI FOOD CORPORATION,29801 Santa Margarita Pkwy,RANCHO SANTA MARGARITA,CA,92688,722513,Subchapter S Corporation,500,4/8/2020,The Huntington National Bank
COTTI FOODS CALIFORNIA INC,29801 Santa Margarita Pkwy,RANCHO SANTA MARGARITA,CA,92688,722513,Subchapter S Corporation,500,4/8/2020,The Huntington National Bank
"CPRIME,  INC.",107 S B ST STE 200,SAN MATEO,CA,94401,561311,Corporation,249,4/12/2020,California Bank of Commerce
CRYSTAL CREAMERY INC,529 KANSAS AVE,MODESTO,CA,95351,112120,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
CU DIRECT CORPORATION,2855 E. GUASTI RD,ONTARIO,CA,91761,813990,Corporation,393,4/9/2020,"National Cooperative Bank, National Association"
CUTERA INC,3240 BAYSHORE BOULEVARD,BRISBANE,CA,94005,339113,Corporation,133,4/13/2020,Silicon Valley Bank
"CYPRESS HEALTHCARE PARTNERS, LLC",100 WILSON RD SUITE 100,MONTEREY,CA,93940,551112,Limited  Liability Company(LLC),490,4/11/2020,1st Capital Bank
"D&K ENGINEERING,A CALIFORNIA C",16990 GOLDENTOP RD,SAN DIEGO,CA,92127,334516,Corporation,346,4/3/2020,"Bank of Southern California, National Association"
DALEY'S DRYWALL & TAPING INC.,960 Camden Ave,CAMPBELL,CA,95008,238310,Corporation,360,4/8/2020,Western Alliance Bank
"DARENSBERRIES, LLC",2515 Professional Parkway,SANTA MARIA,CA,93455,111333,Limited  Liability Company(LLC),500,4/12/2020,Pacific Premier Bank
"DATADIRECT NETWORKS, INC.",9351 DEERING AVE,CHATSWORTH,CA,91311,334112,Corporation,500,4/15/2020,Preferred Bank
DAVIS DEVELOPMENT COMPANY INC,8780 PRESTIGE CT,RANCHO CUCAMONGA,CA,91730,541611,Corporation,500,5/3/2020,"Bank of America, National Association"
"DAYLIGHT TRANSPORT, LLC",1501 HUGHES WAY,LONG BEACH,CA,90810,484122,Limited  Liability Company(LLC),463,5/12/2020,"MUFG Union Bank, National Association"
"DECKER ELECTRIC CO., INC., ELECTRICAL CONTRACTOR",1282 FOLSOM ST,SAN FRANCISCO,CA,94103,238210,Corporation,494,4/10/2020,Mechanics Bank
DENDREON PHARMACEUTICALS LLC,1700 Saturn Way 0.0,SEAL BEACH,CA,90740,325412,Limited  Liability Company(LLC),140,4/14/2020,"JPMorgan Chase Bank, National Association"
DIOCESE OF FRESNO EDUCATION CORPORATION,1550 N FRESNO ST,FRESNO,CA,93703,236220,Non-Profit Organization,498,4/28/2020,Notre Dame FCU
DIOCESE OF MONTEREY PARISH & SCHOOL OPERATING CORPORATION,425 Church St,MONTEREY,CA,93940,813110,Non-Profit Organization,495,4/27/2020,Notre Dame FCU
DIVERSIFIED UTILITY SERVICES INC,3105 UNICORN RD,BAKERSFIELD,CA,93308,237110,Subchapter S Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
DOME CONSTRUCTION CORPORATION,393 East Grand Avenue,SOUTH SAN FRANCISCO,CA,94080,236220,Subchapter S Corporation,320,4/7/2020,Bank of San Francisco
DONOR NETWORK WEST,12667 ALCOSTA BLVD,SAN RAMON,CA,94583,621991,Non-Profit Organization,334,4/27/2020,Bank of Marin
DRILL TECH DRILLING & SHORING INC,2200 Wymore Way,ANTIOCH,CA,94509,237990,Corporation,401,4/3/2020,Fremont Bank
"DYN365, INC.",500 Technology Drive,IRVINE,CA,92618,511210,Corporation,163,4/15/2020,KeyBank National Association
E&B NATURAL RESOURCES MANAGEMENT CORPORATION,1600 NORRIS RD,BAKERSFIELD,CA,93308,211111,Subchapter S Corporation,296,4/15/2020,BBVA USA
"E2 CONSULTING ENGINEERS, INC.",2100 POWELL ST,EMERYVILLE,CA,94608,541330,Subchapter S Corporation,233,4/15/2020,"Citibank, N.A."
EAH INC.,22 PELICAN WAY,SAN RAFAEL,CA,94901,531110,Non-Profit Organization,478,4/27/2020,City National Bank
EAT CLUB INC.,1400 SEAPORT BLVD STE 400,REDWOOD CITY,CA,94063,722310,Corporation,500,4/30/2020,Comerica Bank
"EDMUNDS COM, INC",2401 Colorado Avenue,SANTA MONICA,CA,90404,519130,Corporation,500,4/15/2020,"MUFG Union Bank, National Association"
EDUCATION FOR CHANGE,333 Hegenberger Rd Ste 600,OAKLAND,CA,94621,561110,Non-Profit Organization,410,5/3/2020,"Bank of America, National Association"
"EICHLEAY, INC.",1390 WILLOW PASS RD,CONCORD,CA,94520,541330,Corporation,314,4/15/2020,Bank of Marin
EL & EL WOOD PRODUCTS CORP.,"6011 SCHAEFER AVE., CHINO, CA 91710",CHINO,CA,91708,321911,Corporation,459,4/14/2020,Fifth Third Bank
ELC CONSULTING,5149 Lone Tree Way,ANTIOCH,CA,94531,541519,Corporation,0,5/5/2020,Radius Bank
"ELCOR ELECTRIC, INC.",3310 Bassett Street,SANTA CLARA,CA,95054,238210,Corporation,240,4/16/2020,"Zions Bank, A Division of"
"ELSIE GREEN, INC",20 COPENHAGEN CT,ALAMO,CA,94507,442110,Corporation,0,4/11/2020,"Wells Fargo Bank, National Association"
EMCORE CORPORATION,2015 CHESTNUT STREET,ALHAMBRA,CA,91803,334413,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
"EMPLOYNET, INC.",2555 Garden Road Suite H,MONTEREY,CA,93940,561320,Corporation,490,4/30/2020,Cache Valley Bank
ENDOLOGIX INC,2 Musick,IRVINE,CA,92618,339112,Corporation,477,5/3/2020,"Bank of America, National Association"
ENGEO INCORPORATED,2010 Crow Canyon Pl Ste 250,SAN RAMON,CA,94583,541330,Corporation,216,4/9/2020,Community Bank of the Bay
"ENJOY TECHNOLOGY, INC.",3240 HILLVIEW AVE,PALO ALTO,CA,94304,485999,Corporation,500,4/14/2020,"Newtek Small Business Finance, Inc."
ENTERPRISE RESOURCE SVCS INC,400 Continental Blvd 6th Fl,EL SEGUNDO,CA,90245,561311,Corporation,500,5/3/2020,"Zions Bank, A Division of"
ENVIRONMENTAL SCIENCE ASSOCIATES,550 Kearny Street Suite 800,SAN FRANCISCO,CA,94108,541990,Subchapter S Corporation,499,4/10/2020,First American Bank
EPIC CARE,2345 Country Hills Ste 100,ANTIOCH,CA,94509,621112,Corporation,447,4/9/2020,First-Citizens Bank & Trust Company
EPIC PERSONNEL PARTNERS LLC,1006 SHOTWELL COURT,PLEASANTON,CA,94566,561320,Limited  Liability Company(LLC),500,5/19/2020,Community Federal Savings Bank
EPSILON SYSTEMS SOLUTIONS INC,9242 LIGHTWAVE AVE Ste 100,SAN DIEGO,CA,92123,336611,Corporation,500,4/10/2020,Umpqua Bank
EROPCAR MOBILITY GROUP,5500 W. CENTURY BLVD,LOS ANGELES,CA,90045,532111,Corporation,500,5/14/2020,"Santander Bank, National Association"
EUREKA RESTAURANT GROUP LLC,12101 S CRESHAW BLVD,HAWTHORNE,CA,90250,722511,Limited  Liability Company(LLC),500,4/27/2020,Stearns Bank National Association
"EVANS HOTELS, LLC",998 WEST MISSION BAY DR,SAN DIEGO,CA,92109,721110,Limited  Liability Company(LLC),500,4/4/2020,City National Bank
EXACT STAFF,21031 Ventura Blvd. Ste 501,WOODLAND HILLS,CA,91364,561320,Subchapter S Corporation,500,4/15/2020,Signature Bank
