zip,businessname,address,city,state,naicscode,businesstype,jobsretained,dateapproved,lender
94501,BAY MARITIME CORP,2900 MAIN ST,ALAMEDA,CA,541330.0,Corporation,440.0,4/11/2020,Umpqua Bank
94539,BAYSIDE INTERIORS INC.,3220 Darby Common,FREMONT,CA,238310.0,Subchapter S Corporation,306.0,4/7/2020,Fremont Bank
94621,"BAYVIEW SERVICES, INC",6925 SAN LEANDRO ST,OAKLAND,CA,541620.0,Subchapter S Corporation,332.0,4/9/2020,First Western Trust Bank
96001,"BEAR TRACKS HOLDINGS, LLC",1880 Shasta Street,REDDING,CA,722511.0,Limited  Liability Company(LLC),499.0,4/11/2020,BMO Harris Bank National Association
94596,"BELL-CARTER FOODS, LLC",590 YGNACIO VALLEY RD STE 300,WALNUT CREEK,CA,311421.0,Limited  Liability Company(LLC),317.0,4/15/2020,BMO Harris Bank National Association
94710,"BERKELEY CEMENT, INC.",1200 Sixth St,BERKELEY,CA,238110.0,Corporation,363.0,4/13/2020,California Bank of Commerce
91340,BERNARDS BROS INC,555 First Street,SAN FERNANDO,CA,236220.0,Corporation,312.0,4/28/2020,"U.S. Bank, National Association"
92501,"BEST, BEST &AMP; KRIEGER LLP",3750 University Ave Ste 400,RIVERSIDE,CA,541110.0,Limited Liability Partnership,333.0,5/3/2020,"Bank of America, National Association"
94005,"BI-RITE RESTAURANT SUPPLY, CO",123 South Hill Drive,BRISBANE,CA,422410.0,Subchapter S Corporation,270.0,4/9/2020,Bank of San Francisco
90404,"BIRD RIDES, INC.",2501 Colorado Ave. Second Floor 0,SANTA MONICA,CA,532310.0,Corporation,341.0,4/28/2020,"Citibank, N.A."
91406,BIRMINGHAM COMMUNITY CHARTER HIGH SCHOOL,17000 HAYNES ST,VAN NUYS,CA,611110.0,Non-Profit Organization,385.0,4/28/2020,Pacific Western Bank
94065,BKF ENGINEERS,255 SHORELINE DR #200,REDWOOD CITY,CA,541330.0,Corporation,499.0,4/4/2020,Redwood CU
91423,BLACK ANGUS STEAKHOUSES LLC,13400 Riverside Drive Suite 210,SHERMAN OAKS,CA,722511.0,Limited  Liability Company(LLC),63.0,4/10/2020,Stearns Bank National Association
94105,BLACKSTONE TECHNOLOGY GROUP,33 NEW MONTGOMERY ST suite 850,SAN FRANCISCO,CA,541519.0,Subchapter S Corporation,186.0,4/11/2020,Oak Valley Community Bank
92660,"BLD BRANDS, LLC",20377 SW Acacia St. Suite 200,NEWPORT BEACH,CA,722310.0,Limited  Liability Company(LLC),500.0,4/8/2020,"JPMorgan Chase Bank, National Association"
92408,BLOOD BANK OF SAN BERNADINO AND RIVERSIDE COUNTIES DBA LIFESTREAM,384 W ORANGE SHOW RD,SAN BERNARDINO,CA,621991.0,Corporation,434.0,4/9/2020,Pacific Premier Bank
94133,"BLUE & GOLD FLEET, L.P.",41 Pier Fishermans Wharf,SAN FRANCISCO,CA,483114.0,Partnership,294.0,4/9/2020,Western Alliance Bank
95688,BLUE MOUNTAIN CONSTRUCTION SERVICES INC,707 ALDRIDGE RD,VACAVILLE,CA,236118.0,Corporation,426.0,4/27/2020,"Flagstar Bank, FSB"
92606,"BOMEL CONSTRUCTION CO., INC.",96 CORPORATE PARK,IRVINE,CA,238990.0,Corporation,453.0,4/28/2020,Pacific Western Bank
94545,"BOYETT CONSTRUCTION, INC.",2404 Tripaldi Way,HAYWARD,CA,423810.0,Corporation,201.0,4/8/2020,Western Alliance Bank
92660,BREMER WHYTE BROWN & O'MEARA LLP,20320 SW BIRCH ST,NEWPORT BEACH,CA,541110.0,Limited Liability Partnership,300.0,4/9/2020,Sunwest Bank
94108,BRIDGE HOUSING CORPORATION,600 California St,SAN FRANCISCO,CA,484110.0,Non-Profit Organization,,4/13/2020,KeyBank National Association
92111,"BRIGANTINE, INC.  THE",7889 Ostrow St.,SAN DIEGO,CA,722511.0,Corporation,500.0,4/9/2020,"Zions Bank, A Division of"
90501,"BRIGHT EVENT RENTALS, LLC",1640 190TH ST,TORRANCE,CA,532299.0,Limited  Liability Company(LLC),324.0,4/9/2020,Bank of the West
90057,BRIGHT STAR SCHOOLS,600 S. LA FAYETTE PARK PL,LOS ANGELES,CA,611110.0,Non-Profit Organization,393.0,4/13/2020,City National Bank
94108,"BTS USA, INC.",222 KEARNY ST SUITE 1000,SAN FRANCISCO,CA,541611.0,Corporation,318.0,5/2/2020,Axos Bank
90017,"BUCHALTER, A PROFESSIONAL CORPORATION",1000 Wilshire Blvd STE 1500,LOS ANGELES,CA,541110.0,Corporation,478.0,4/8/2020,"Zions Bank, A Division of"
95632,BUILDING MATERIAL DISTRIBUTORS INC,225 ELM AVE,GALT,CA,423310.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
90048,BURTON WAY HOTELS LLC,300 S. DOHENY DR,LOS ANGELES,CA,721110.0,Limited  Liability Company(LLC),484.0,4/9/2020,East West Bank
90302,"BWDS, LLC",450 N Oak St,INGLEWOOD,CA,621399.0,Limited  Liability Company(LLC),180.0,4/13/2020,Pacific Mercantile Bank
94103,BYER CALIFORNIA,66 Potrero Ave,SAN FRANCISCO,CA,315240.0,Corporation,500.0,6/10/2020,"Bank of America, National Association"
95054,BYTON NORTH AMERICA CORPORATION,4201 BURTON DR,SANTA CLARA,CA,336111.0,Corporation,387.0,4/15/2020,"HSBC Bank USA, National Association"
95131,C H RENOLDS ELECTRIC INC.,1281 Wayne Ave,SAN JOSE,CA,238210.0,Corporation,298.0,4/27/2020,"U.S. Bank, National Association"
94801,C. OVERAA & CO.,200 Parr Boulevard,RICHMOND,CA,541990.0,Corporation,465.0,4/10/2020,Mechanics Bank
94111,"C.B.F., INC.",675 DAVIS ST,SAN FRANCISCO,CA,238210.0,Corporation,60.0,4/14/2020,"MUFG Union Bank, National Association"
94063,"C3.AI, INC.",1300 Seaport Blvd Ste 500,REDWOOD CITY,CA,511210.0,Corporation,452.0,5/3/2020,"Bank of America, National Association"
91016,"CACIQUE, INC","800 Royal Oaks Drive, Suite 200",MONROVIA,CA,311513.0,Subchapter S Corporation,0.0,4/8/2020,BMO Harris Bank National Association
92806,"CADENCE AEROSPACE, LLC",3150 MIRALOMA AVE,ANAHEIM,CA,336411.0,Limited  Liability Company(LLC),500.0,4/14/2020,Landmark National Bank
95954,CAGWIN & DORWARD,1422 Technology Lane,MAGALIA,CA,561730.0,Corporation,,4/14/2020,River City Bank
94118,CALIFORNIA ACADEMY OF SCIENCES,55 Music Concourse Drive 0.0,SAN FRANCISCO,CA,541715.0,Non-Profit Organization,474.0,4/15/2020,"JPMorgan Chase Bank, National Association"
92131,"CALIFORNIA CANCER ASSOCIATES FOR RESEARCH AND EXCELLENCE, INC.",9915 MIRA MESA BLVD SUITE 370,SAN DIEGO,CA,621111.0,Corporation,366.0,4/13/2020,Premier Valley Bank
91105,"CALIFORNIA CLINIC MANAGEMENT, LLC",100 E. California Blvd.,PASADENA,CA,541611.0,Limited  Liability Company(LLC),500.0,4/15/2020,"Zions Bank, A Division of"
92614,"CALIFORNIA FISH GRILL, LLC","17310 Red Hill Avenue, Suite 330",IRVINE,CA,722513.0,Limited  Liability Company(LLC),500.0,5/3/2020,"Zions Bank, A Division of"
90048,CALIFORNIA FOOD MANAGEMENT LLC,6404 WILSHIRE BLVD STE. 999,LOS ANGELES,CA,722513.0,Limited  Liability Company(LLC),500.0,4/10/2020,Manufacturers Bank
95757,"CALIFORNIA NORTHSTATE UNIVERSITY, LLC",9700 WEST TARON DR,ELK GROVE,CA,611310.0,Limited  Liability Company(LLC),280.0,4/15/2020,Exchange Bank
94040,"CALIFORNIA SKIN INSTITUTE INTERMEDIATE HOLDINGS, LLC",525 SOUTH DR Suite 115,MOUNTAIN VIEW,CA,621111.0,Limited  Liability Company(LLC),390.0,4/13/2020,BMO Harris Bank National Association
94606,CALIFORNIA WASTE SOLUTIONS INC,1211 EMBARCADERO Suite 300,OAKLAND,CA,562111.0,Corporation,295.0,4/28/2020,East West Bank
94608,"CALLISTO MEDIA, INC.",6005 SHELLMOUND ST SUITE 175,EMERYVILLE,CA,511130.0,Corporation,,4/28/2020,Pacific Western Bank
90503,CANOO INC.,19551 Mariner Ave,TORRANCE,CA,336111.0,Corporation,0.0,6/29/2020,Silicon Valley Bank
92056,CAR SOUND EXHAUST SYSTEM INC.,1901 CORPORATE CTR,OCEANSIDE,CA,336390.0,Corporation,250.0,4/5/2020,City National Bank
92408,"CASTON, INC.",354 ALLEN ST,SAN BERNARDINO,CA,238310.0,Corporation,366.0,4/28/2020,Pacific Western Bank
90704,CATALINA ISLAND COMPANY,150 Metropole Ave.,AVALON,CA,721110.0,Corporation,492.0,4/9/2020,City National Bank
94109,CATHOLIC CHARITIES CYO OF THE ARCHDIOCESE OF SAN FRANCISCO,990 Eddy Street,SAN FRANCISCO,CA,813110.0,Non-Profit Organization,480.0,4/6/2020,Bank of San Francisco
94538,"CENTRAL FLORIDA RESTAURANTS, INC.",3550 Mowry Ave,FREMONT,CA,722511.0,Corporation,500.0,4/14/2020,The Bancorp Bank
95354,"CENTRAL VALLEY SPECIALTY HOSPITAL, INC.",730 17th Street,MODESTO,CA,622310.0,Corporation,439.0,4/28/2020,Fremont Bank
92108,"CERCA TROVA RESTAURANT GROUP HOLDINGS, INC.",7676 HAZARD CENTER DR,SAN DIEGO,CA,722511.0,Corporation,500.0,4/6/2020,"Bank of Southern California, National Association"
90059,CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,1731 E 120TH ST,LOS ANGELES,CA,611310.0,Non-Profit Organization,450.0,4/9/2020,Western Alliance Bank
94539,"CHECKONE, INC.",46228 WARM SPRINGS BLVD Suite 476,FREMONT,CA,541214.0,Corporation,500.0,4/30/2020,Comerica Bank
91325,CHILD AND FAMILY GUIDANCE CENTER,9650 ZELZAH AVE,NORTHRIDGE,CA,624190.0,Non-Profit Organization,464.0,4/9/2020,East West Bank
90007,CHILDREN'S BUREAU OF SOUTHREN CALIFORNIA,1910 MAGNOLIA AVE,LOS ANGELES,CA,813212.0,Non-Profit Organization,465.0,4/27/2020,City National Bank
91754,CHILDREN'S LAW CENTER OF CALIFORNIA,101 CENTRE PLAZA DR,MONTEREY PARK,CA,922190.0,Non-Profit Organization,475.0,4/10/2020,American Business Bank
94133,CHINESE HOSPITAL ASSOCIATION,845 Jackson Street,SAN FRANCISCO,CA,525920.0,Corporation,377.0,4/16/2020,"U.S. Bank, National Association"
90212,CHROME HEARTS LLC,9100 WILSHIRE BLVD SUITE 1000W,BEVERLY HILLS,CA,315990.0,Limited  Liability Company(LLC),489.0,4/7/2020,City National Bank
92806,CIRKS CONSTRUCTION INC.,2570 E CERRITOS AVE,ANAHEIM,CA,236220.0,Corporation,270.0,4/3/2020,Partners Bank of California
92130,CLAIM JUMPER ACQUISITION COMPANY LLC,12730 HIGH BLUFF DR,SAN DIEGO,CA,722511.0,Limited  Liability Company(LLC),0.0,4/15/2020,"C3Bank, National Association"
94133,"CLAREMONT HOTEL PROPERTIES, LLC",909 Montgomery St,SAN FRANCISCO,CA,721110.0,Limited  Liability Company(LLC),500.0,4/28/2020,First Republic Bank
91406,CLAY LACY AVIATION INC,7435 Valjean Ave,VAN NUYS,CA,488190.0,Subchapter S Corporation,500.0,4/15/2020,First Republic Bank
93427,COASTAL VINEYARD CARE ASSOCIATES,224 E. HWY 246,BUELLTON,CA,115115.0,Subchapter S Corporation,0.0,4/27/2020,"Farm Credit West, PCA"
92126,COFFMAN SPECIALTIES INC.,"9685 VIA EXCELENCIA, STE. 200",SAN DIEGO,CA,237310.0,Corporation,315.0,4/8/2020,Pacific Premier Bank
95215,"COLLINS ELECTRICAL COMPANY, INC.",3412 Metro Drive,STOCKTON,CA,238210.0,Corporation,347.0,4/7/2020,Farmers & Merchants Bank of Central California
90245,COLUMBUS TECHNOLOGIES AND SERVICES INC,1960 E GRAND AVE STE 1000,EL SEGUNDO,CA,541330.0,Corporation,500.0,5/3/2020,"Bank of America, National Association"
92606,"COMMERCE HOME MORTGAGE, LLC",16845 VON KARMAN AVE,IRVINE,CA,522292.0,Limited  Liability Company(LLC),250.0,4/3/2020,Cornerstone Community Bank
95624,CONCRETE NORTH INC,10274 IRON ROCK WAY,ELK GROVE,CA,238110.0,Corporation,208.0,4/9/2020,Central Valley Community Bank
94621,"CONDON-JOHNSON &#X26; ASSOCIATES, INC.",480 ROLAND WAY,OAKLAND,CA,238110.0,Corporation,345.0,5/3/2020,"MUFG Union Bank, National Association"
90501,"CONESYS, INC.",2280 West 208th Street,TORRANCE,CA,334417.0,Subchapter S Corporation,494.0,4/9/2020,"Zions Bank, A Division of"
92701,"CONTINENTAL CURRENCY SERVICES, INC.",1108 17TH ST,SANTA ANA,CA,522390.0,Corporation,395.0,5/3/2020,Fifth Third Bank
95037,CONTINUING DEVELOPMENT INCORPORATED,350 WOODVIEW AVE STE 100,MORGAN HILL,CA,624410.0,Non-Profit Organization,500.0,4/27/2020,KeyPoint CU
94065,COPE LAND INC,330 Twin Dolphin Drive,REDWOOD CITY,CA,624190.0,Corporation,20.0,4/14/2020,Boston Private Bank & Trust Company
90012,CORDOBA CORP.,1401 N. BROADWAY,LOS ANGELES,CA,541990.0,Subchapter S Corporation,381.0,4/9/2020,Cathay Bank
92883,"CORE TREE CARE, INC.",11762 DE PALMA RD STE 1C-103,CORONA,CA,561730.0,Subchapter S Corporation,216.0,4/15/2020,"JPMorgan Chase Bank, National Association"
95112,CORTEC PRECISION SHEET METAL INC,2231 WILL WOOL DR,SAN JOSE,CA,332322.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
92688,COTTI FOOD CORPORATION,29801 Santa Margarita Pkwy,RANCHO SANTA MARGARITA,CA,722513.0,Subchapter S Corporation,500.0,4/8/2020,The Huntington National Bank
92688,COTTI FOODS CALIFORNIA INC,29801 Santa Margarita Pkwy,RANCHO SANTA MARGARITA,CA,722513.0,Subchapter S Corporation,500.0,4/8/2020,The Huntington National Bank
94401,"CPRIME,  INC.",107 S B ST STE 200,SAN MATEO,CA,561311.0,Corporation,249.0,4/12/2020,California Bank of Commerce
95351,CRYSTAL CREAMERY INC,529 KANSAS AVE,MODESTO,CA,112120.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
91761,CU DIRECT CORPORATION,2855 E. GUASTI RD,ONTARIO,CA,813990.0,Corporation,393.0,4/9/2020,"National Cooperative Bank, National Association"
94005,CUTERA INC,3240 BAYSHORE BOULEVARD,BRISBANE,CA,339113.0,Corporation,133.0,4/13/2020,Silicon Valley Bank
93940,"CYPRESS HEALTHCARE PARTNERS, LLC",100 WILSON RD SUITE 100,MONTEREY,CA,551112.0,Limited  Liability Company(LLC),490.0,4/11/2020,1st Capital Bank
92127,"D&K ENGINEERING,A CALIFORNIA C",16990 GOLDENTOP RD,SAN DIEGO,CA,334516.0,Corporation,346.0,4/3/2020,"Bank of Southern California, National Association"
95008,DALEY'S DRYWALL & TAPING INC.,960 Camden Ave,CAMPBELL,CA,238310.0,Corporation,360.0,4/8/2020,Western Alliance Bank
93455,"DARENSBERRIES, LLC",2515 Professional Parkway,SANTA MARIA,CA,111333.0,Limited  Liability Company(LLC),500.0,4/12/2020,Pacific Premier Bank
91311,"DATADIRECT NETWORKS, INC.",9351 DEERING AVE,CHATSWORTH,CA,334112.0,Corporation,500.0,4/15/2020,Preferred Bank
91730,DAVIS DEVELOPMENT COMPANY INC,8780 PRESTIGE CT,RANCHO CUCAMONGA,CA,541611.0,Corporation,500.0,5/3/2020,"Bank of America, National Association"
90810,"DAYLIGHT TRANSPORT, LLC",1501 HUGHES WAY,LONG BEACH,CA,484122.0,Limited  Liability Company(LLC),463.0,5/12/2020,"MUFG Union Bank, National Association"
94103,"DECKER ELECTRIC CO., INC., ELECTRICAL CONTRACTOR",1282 FOLSOM ST,SAN FRANCISCO,CA,238210.0,Corporation,494.0,4/10/2020,Mechanics Bank
90740,DENDREON PHARMACEUTICALS LLC,1700 Saturn Way 0.0,SEAL BEACH,CA,325412.0,Limited  Liability Company(LLC),140.0,4/14/2020,"JPMorgan Chase Bank, National Association"
93703,DIOCESE OF FRESNO EDUCATION CORPORATION,1550 N FRESNO ST,FRESNO,CA,236220.0,Non-Profit Organization,498.0,4/28/2020,Notre Dame FCU
93940,DIOCESE OF MONTEREY PARISH & SCHOOL OPERATING CORPORATION,425 Church St,MONTEREY,CA,813110.0,Non-Profit Organization,495.0,4/27/2020,Notre Dame FCU
93308,DIVERSIFIED UTILITY SERVICES INC,3105 UNICORN RD,BAKERSFIELD,CA,237110.0,Subchapter S Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
94080,DOME CONSTRUCTION CORPORATION,393 East Grand Avenue,SOUTH SAN FRANCISCO,CA,236220.0,Subchapter S Corporation,320.0,4/7/2020,Bank of San Francisco
94583,DONOR NETWORK WEST,12667 ALCOSTA BLVD,SAN RAMON,CA,621991.0,Non-Profit Organization,334.0,4/27/2020,Bank of Marin
94509,DRILL TECH DRILLING & SHORING INC,2200 Wymore Way,ANTIOCH,CA,237990.0,Corporation,401.0,4/3/2020,Fremont Bank
92618,"DYN365, INC.",500 Technology Drive,IRVINE,CA,511210.0,Corporation,163.0,4/15/2020,KeyBank National Association
93308,E&B NATURAL RESOURCES MANAGEMENT CORPORATION,1600 NORRIS RD,BAKERSFIELD,CA,211111.0,Subchapter S Corporation,296.0,4/15/2020,BBVA USA
94608,"E2 CONSULTING ENGINEERS, INC.",2100 POWELL ST,EMERYVILLE,CA,541330.0,Subchapter S Corporation,233.0,4/15/2020,"Citibank, N.A."
94901,EAH INC.,22 PELICAN WAY,SAN RAFAEL,CA,531110.0,Non-Profit Organization,478.0,4/27/2020,City National Bank
94063,EAT CLUB INC.,1400 SEAPORT BLVD STE 400,REDWOOD CITY,CA,722310.0,Corporation,500.0,4/30/2020,Comerica Bank
90404,"EDMUNDS COM, INC",2401 Colorado Avenue,SANTA MONICA,CA,519130.0,Corporation,500.0,4/15/2020,"MUFG Union Bank, National Association"
94621,EDUCATION FOR CHANGE,333 Hegenberger Rd Ste 600,OAKLAND,CA,561110.0,Non-Profit Organization,410.0,5/3/2020,"Bank of America, National Association"
94520,"EICHLEAY, INC.",1390 WILLOW PASS RD,CONCORD,CA,541330.0,Corporation,314.0,4/15/2020,Bank of Marin
91708,EL & EL WOOD PRODUCTS CORP.,"6011 SCHAEFER AVE., CHINO, CA 91710",CHINO,CA,321911.0,Corporation,459.0,4/14/2020,Fifth Third Bank
94531,ELC CONSULTING,5149 Lone Tree Way,ANTIOCH,CA,541519.0,Corporation,0.0,5/5/2020,Radius Bank
95054,"ELCOR ELECTRIC, INC.",3310 Bassett Street,SANTA CLARA,CA,238210.0,Corporation,240.0,4/16/2020,"Zions Bank, A Division of"
94507,"ELSIE GREEN, INC",20 COPENHAGEN CT,ALAMO,CA,442110.0,Corporation,0.0,4/11/2020,"Wells Fargo Bank, National Association"
91803,EMCORE CORPORATION,2015 CHESTNUT STREET,ALHAMBRA,CA,334413.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
93940,"EMPLOYNET, INC.",2555 Garden Road Suite H,MONTEREY,CA,561320.0,Corporation,490.0,4/30/2020,Cache Valley Bank
92618,ENDOLOGIX INC,2 Musick,IRVINE,CA,339112.0,Corporation,477.0,5/3/2020,"Bank of America, National Association"
94583,ENGEO INCORPORATED,2010 Crow Canyon Pl Ste 250,SAN RAMON,CA,541330.0,Corporation,216.0,4/9/2020,Community Bank of the Bay
94304,"ENJOY TECHNOLOGY, INC.",3240 HILLVIEW AVE,PALO ALTO,CA,485999.0,Corporation,500.0,4/14/2020,"Newtek Small Business Finance, Inc."
90245,ENTERPRISE RESOURCE SVCS INC,400 Continental Blvd 6th Fl,EL SEGUNDO,CA,561311.0,Corporation,500.0,5/3/2020,"Zions Bank, A Division of"
